# lag acf_value
5.00000000 1.00257318
6.00000000 1.00306456
7.00000000 1.00354238
8.00000000 1.00401936
9.00000000 1.00449636
10.00000000 1.00497386
11.00000000 1.00545708
12.00000000 1.00595619
13.00000000 1.00641126
14.00000000 1.00686239
15.00000000 1.00731490
16.00000000 1.00772049
17.00000000 1.00812065
18.00000000 1.00853321
19.00000000 1.00897719
20.00000000 1.00943660
21.00000000 1.00988931
22.00000000 1.01034415
23.00000000 1.01080585
24.00000000 1.01125989
25.00000000 1.01177026
26.00000000 1.01227178
27.00000000 1.01279218
28.00000000 1.01333647
29.00000000 1.01386291
30.00000000 1.01438866
31.00000000 1.01491499
32.00000000 1.01543496
33.00000000 1.01593778
34.00000000 1.01643929
35.00000000 1.01693078
36.00000000 1.01723684
37.00000000 1.01753073
38.00000000 1.01781663
39.00000000 1.01809436
40.00000000 1.01834404
41.00000000 1.01857712
42.00000000 1.01880635
43.00000000 1.01902210
44.00000000 1.01919421
45.00000000 1.01935921
46.00000000 1.01944790
47.00000000 1.01953773
48.00000000 1.01960366
49.00000000 1.01967331
50.00000000 1.01972366
51.00000000 1.01976257
52.00000000 1.01980897
53.00000000 1.01979647
54.00000000 1.01977172
55.00000000 1.01976158
56.00000000 1.01973476
57.00000000 1.01970516
58.00000000 1.01967999
59.00000000 1.01963632
60.00000000 1.01958628
61.00000000 1.01952824
62.00000000 1.01944419
63.00000000 1.01935470
64.00000000 1.01920248
65.00000000 1.01905239
66.00000000 1.01888466
67.00000000 1.01869822
68.00000000 1.01843780
69.00000000 1.01824637
70.00000000 1.01806700
71.00000000 1.01788331
72.00000000 1.01762102
73.00000000 1.01737384
74.00000000 1.01712375
75.00000000 1.01695616
76.00000000 1.01679437
77.00000000 1.01663345
78.00000000 1.01660035
79.00000000 1.01676086
80.00000000 1.01692683
81.00000000 1.01709472
82.00000000 1.01727397
83.00000000 1.01750835
84.00000000 1.01774234
85.00000000 1.01800089
86.00000000 1.01843360
87.00000000 1.01883139
88.00000000 1.01920252
89.00000000 1.01957412
90.00000000 1.01992582
91.00000000 1.02026469
92.00000000 1.02055921
93.00000000 1.02086339
94.00000000 1.02118854
95.00000000 1.02149421
96.00000000 1.02187279
97.00000000 1.02224919
98.00000000 1.02263156
99.00000000 1.02299657
