# lag acf_value
5.00000000 1.15984333
6.00000000 1.19565585
7.00000000 1.17625737
8.00000000 1.21504856
9.00000000 1.25999842
10.00000000 1.29407671
11.00000000 1.34280196
12.00000000 1.39624416
13.00000000 1.44651632
14.00000000 1.50710216
15.00000000 1.58761378
16.00000000 1.67152149
17.00000000 1.76808609
18.00000000 0.25791789
19.00000000 0.25796974
20.00000000 0.27341182
21.00000000 0.28049182
22.00000000 0.29240471
23.00000000 0.30237583
24.00000000 0.30233653
25.00000000 0.31972654
26.00000000 0.36097137
27.00000000 0.32387759
28.00000000 0.09799405
29.00000000 0.11650019
30.00000000 0.11180571
31.00000000 0.13604550
32.00000000 0.17121384
33.00000000 0.21345989
