# lag acf_value
5.00000000 1.12697984
6.00000000 1.16392572
7.00000000 1.13118021
8.00000000 1.16095406
9.00000000 1.19570309
10.00000000 1.22129558
11.00000000 1.26640791
12.00000000 1.31040852
13.00000000 1.35109988
14.00000000 1.40462395
15.00000000 1.48000360
16.00000000 1.55552911
17.00000000 1.64155879
18.00000000 0.31250644
19.00000000 0.31107816
20.00000000 0.32894797
21.00000000 0.33883956
22.00000000 0.36406083
23.00000000 0.39600412
24.00000000 0.43452382
25.00000000 0.40960710
26.00000000 0.45773147
27.00000000 0.50462423
28.00000000 0.14131594
29.00000000 0.15588600
30.00000000 0.19709501
31.00000000 0.17297527
32.00000000 0.21923489
33.00000000 0.19335005
