# lag acf_value
5.00000000 1.09072261
6.00000000 1.10955098
7.00000000 1.04909806
8.00000000 0.98400998
9.00000000 1.00179320
10.00000000 1.02033340
11.00000000 1.03967793
12.00000000 1.05988540
13.00000000 1.08100825
14.00000000 1.10311511
15.00000000 1.12627471
16.00000000 0.95283487
17.00000000 0.97339566
18.00000000 0.99501064
19.00000000 1.01776319
20.00000000 1.04174387
21.00000000 1.06705992
22.00000000 1.09382032
23.00000000 1.12215632
24.00000000 0.90668044
25.00000000 0.93093872
26.00000000 0.95676244
27.00000000 0.98430619
28.00000000 1.01375236
29.00000000 1.04529772
30.00000000 1.07918509
31.00000000 1.11567374
32.00000000 0.99196270
33.00000000 0.86024043
34.00000000 0.89197222
35.00000000 0.92658880
36.00000000 0.96449864
37.00000000 1.00620669
38.00000000 1.05229768
39.00000000 1.10351854
40.00000000 1.16075593
41.00000000 0.71911754
42.00000000 0.75836033
43.00000000 0.80321397
44.00000000 0.85496847
45.00000000 0.91534268
46.00000000 0.98670610
47.00000000 1.07232891
48.00000000 1.17699492
49.00000000 0.29433977
50.00000000 0.31775837
51.00000000 0.34898285
52.00000000 0.39268282
53.00000000 0.45826702
54.00000000 0.56752865
55.00000000 0.78612873
56.00000000 1.44177541
