# lag acf_value
5.00000000 1.00226927
6.00000000 1.00266476
7.00000000 1.00299640
8.00000000 1.00332385
9.00000000 1.00364619
10.00000000 1.00396848
11.00000000 1.00429583
12.00000000 1.00463021
13.00000000 1.00501907
14.00000000 1.00545451
15.00000000 1.00591815
16.00000000 1.00634764
17.00000000 1.00677110
18.00000000 1.00720556
19.00000000 1.00764349
20.00000000 1.00808958
21.00000000 1.00850135
22.00000000 1.00892456
23.00000000 1.00934912
24.00000000 1.00975322
25.00000000 1.01017275
26.00000000 1.01056491
27.00000000 1.01090751
28.00000000 1.01125610
29.00000000 1.01160799
30.00000000 1.01196687
31.00000000 1.01234722
32.00000000 1.01272713
33.00000000 1.01310750
34.00000000 1.01348308
35.00000000 1.01385288
36.00000000 1.01421715
37.00000000 1.01459802
38.00000000 1.01497662
39.00000000 1.01535719
40.00000000 1.01572644
41.00000000 1.01610411
42.00000000 1.01649486
43.00000000 1.01690218
44.00000000 1.01731229
45.00000000 1.01773463
46.00000000 1.01814600
47.00000000 1.01856414
48.00000000 1.01899642
49.00000000 1.01942806
50.00000000 1.01993265
51.00000000 1.02041854
52.00000000 1.02092591
53.00000000 1.02143556
54.00000000 1.02194336
55.00000000 1.02249515
56.00000000 1.02304770
57.00000000 1.02360432
58.00000000 1.02414317
59.00000000 1.02414526
60.00000000 1.02411877
61.00000000 1.02405924
62.00000000 1.02396305
63.00000000 1.02358886
64.00000000 1.02320587
65.00000000 1.02286473
66.00000000 1.02172568
67.00000000 1.02049681
68.00000000 1.01915471
69.00000000 1.01773122
70.00000000 1.01625795
71.00000000 1.01454538
72.00000000 1.01297219
73.00000000 1.01141554
74.00000000 1.00941136
75.00000000 1.00771320
76.00000000 1.00571119
77.00000000 1.00397003
78.00000000 1.00295389
79.00000000 1.00288398
80.00000000 1.00270317
81.00000000 1.00253646
82.00000000 1.00237098
83.00000000 1.00235910
84.00000000 1.00235558
85.00000000 1.00240430
86.00000000 1.00288695
87.00000000 1.00334403
88.00000000 1.00378644
89.00000000 1.00423950
90.00000000 1.00461526
91.00000000 1.00502550
92.00000000 1.00543254
93.00000000 1.00582652
94.00000000 1.00628756
95.00000000 1.00674481
96.00000000 1.00722928
97.00000000 1.00770999
98.00000000 1.00818262
99.00000000 1.00866486
