# lag acf_value
5.00000000 1.00309105
6.00000000 1.00365542
7.00000000 1.00421794
8.00000000 1.00478139
9.00000000 1.00534483
10.00000000 1.00590874
11.00000000 1.00647261
12.00000000 1.00703664
13.00000000 1.00759021
14.00000000 1.00814727
15.00000000 1.00870659
16.00000000 1.00926502
17.00000000 1.00982405
18.00000000 1.01038421
19.00000000 1.01094367
20.00000000 1.01150471
21.00000000 1.01206502
22.00000000 1.01262682
23.00000000 1.01318799
24.00000000 1.01374959
25.00000000 1.01431257
26.00000000 1.01487602
27.00000000 1.01544238
28.00000000 1.01600921
29.00000000 1.01657714
30.00000000 1.01714694
31.00000000 1.01772101
32.00000000 1.01829555
33.00000000 1.01887126
34.00000000 1.01944746
35.00000000 1.02002357
36.00000000 1.02060004
37.00000000 1.02117731
38.00000000 1.02175505
39.00000000 1.02233361
40.00000000 1.02291168
41.00000000 1.02349131
42.00000000 1.02407213
43.00000000 1.02465516
44.00000000 1.02523887
45.00000000 1.02582719
46.00000000 1.02641507
47.00000000 1.02700333
48.00000000 1.02759267
49.00000000 1.02818268
50.00000000 1.02878756
51.00000000 1.02939175
52.00000000 1.02999784
53.00000000 1.03060330
54.00000000 1.03120808
55.00000000 1.03181445
56.00000000 1.03242156
57.00000000 1.03302599
58.00000000 1.03362694
59.00000000 1.03417810
60.00000000 1.03472982
61.00000000 1.03527685
62.00000000 1.03582385
63.00000000 1.03636183
64.00000000 1.03689702
65.00000000 1.03744268
66.00000000 1.03794991
67.00000000 1.03843524
68.00000000 1.03891814
69.00000000 1.03939524
70.00000000 1.03990555
71.00000000 1.04041249
72.00000000 1.04093788
73.00000000 1.04147199
74.00000000 1.04199419
75.00000000 1.04253044
76.00000000 1.04305010
77.00000000 1.04359372
78.00000000 1.04416091
79.00000000 1.04476978
80.00000000 1.04537621
81.00000000 1.04598426
82.00000000 1.04659150
83.00000000 1.04720465
84.00000000 1.04781900
85.00000000 1.04844017
86.00000000 1.04906595
87.00000000 1.04969208
88.00000000 1.05032009
89.00000000 1.05094949
90.00000000 1.05158077
91.00000000 1.05221259
92.00000000 1.05284468
93.00000000 1.05347849
94.00000000 1.05411248
95.00000000 1.05474716
96.00000000 1.05537919
97.00000000 1.05601194
98.00000000 1.05664578
99.00000000 1.05728103
