# lag acf_value
5.00000000 1.04051614
6.00000000 1.04724418
7.00000000 1.05923427
8.00000000 1.07165347
9.00000000 1.08477384
10.00000000 1.09903659
11.00000000 1.11225231
12.00000000 1.12404754
13.00000000 1.13765554
14.00000000 1.15195345
15.00000000 1.16651151
16.00000000 1.18152212
17.00000000 1.19761912
18.00000000 1.15945172
19.00000000 1.11476233
20.00000000 1.13123006
21.00000000 1.14564182
22.00000000 1.14116874
23.00000000 1.15858494
24.00000000 1.17550819
25.00000000 1.19441818
26.00000000 1.20825372
27.00000000 1.22646482
28.00000000 1.24706231
29.00000000 1.26760589
30.00000000 1.28894758
31.00000000 1.31082181
32.00000000 1.33297127
33.00000000 1.35779024
34.00000000 1.24759068
35.00000000 1.27072717
36.00000000 1.29478448
37.00000000 1.31969982
38.00000000 1.34417521
39.00000000 1.36790527
40.00000000 1.39622005
41.00000000 1.42413033
42.00000000 1.45421953
43.00000000 1.48545909
44.00000000 1.51610227
45.00000000 1.55050908
46.00000000 1.58528765
47.00000000 0.33672046
48.00000000 0.33971467
49.00000000 0.34453157
50.00000000 0.35059031
51.00000000 0.35460539
52.00000000 0.36319514
53.00000000 0.36793324
54.00000000 0.37620575
55.00000000 0.38538456
56.00000000 0.39526148
57.00000000 0.40476590
58.00000000 0.41452870
59.00000000 0.42870571
60.00000000 0.43974625
61.00000000 0.45521367
62.00000000 0.47400142
63.00000000 0.49277551
64.00000000 0.47098193
65.00000000 0.48855105
66.00000000 0.50685215
67.00000000 0.52592159
68.00000000 0.55462712
69.00000000 0.58642978
70.00000000 0.59884670
71.00000000 0.62766856
72.00000000 0.66835358
73.00000000 0.11790903
74.00000000 0.12381029
75.00000000 0.12677528
76.00000000 0.13752202
77.00000000 0.14067789
78.00000000 0.14164410
79.00000000 0.14476065
80.00000000 0.15600773
81.00000000 0.13508579
82.00000000 0.13477310
83.00000000 0.14746086
84.00000000 0.13767688
85.00000000 0.19122455
