# lag acf_value
5.00000000 1.00301667
6.00000000 1.00356833
7.00000000 1.00411442
8.00000000 1.00466049
9.00000000 1.00520651
10.00000000 1.00575254
11.00000000 1.00630172
12.00000000 1.00684926
13.00000000 1.00739063
14.00000000 1.00793758
15.00000000 1.00848899
16.00000000 1.00903543
17.00000000 1.00958336
18.00000000 1.01013375
19.00000000 1.01068465
20.00000000 1.01123853
21.00000000 1.01178190
22.00000000 1.01233757
23.00000000 1.01289497
24.00000000 1.01345152
25.00000000 1.01400985
26.00000000 1.01457507
27.00000000 1.01514974
28.00000000 1.01572529
29.00000000 1.01630288
30.00000000 1.01688370
31.00000000 1.01746582
32.00000000 1.01805211
33.00000000 1.01864197
34.00000000 1.01923450
35.00000000 1.01982817
36.00000000 1.02042267
37.00000000 1.02101748
38.00000000 1.02161282
39.00000000 1.02220892
40.00000000 1.02280510
41.00000000 1.02340255
42.00000000 1.02399128
43.00000000 1.02458346
44.00000000 1.02517667
45.00000000 1.02577123
46.00000000 1.02636552
47.00000000 1.02695486
48.00000000 1.02754513
49.00000000 1.02813602
50.00000000 1.02873748
51.00000000 1.02933750
52.00000000 1.02993661
53.00000000 1.03053451
54.00000000 1.03113120
55.00000000 1.03173631
56.00000000 1.03234224
57.00000000 1.03294947
58.00000000 1.03355330
59.00000000 1.03409930
60.00000000 1.03463350
61.00000000 1.03516189
62.00000000 1.03568656
63.00000000 1.03618171
64.00000000 1.03667896
65.00000000 1.03718022
66.00000000 1.03758614
67.00000000 1.03797161
68.00000000 1.03834271
69.00000000 1.03870040
70.00000000 1.03907769
71.00000000 1.03943208
72.00000000 1.03979505
73.00000000 1.04017146
74.00000000 1.04051414
75.00000000 1.04089736
76.00000000 1.04120997
77.00000000 1.04158956
78.00000000 1.04203272
79.00000000 1.04257004
80.00000000 1.04310205
81.00000000 1.04363652
82.00000000 1.04417270
83.00000000 1.04473354
84.00000000 1.04529527
85.00000000 1.04586084
86.00000000 1.04647891
87.00000000 1.04709232
88.00000000 1.04770343
89.00000000 1.04831678
90.00000000 1.04892391
91.00000000 1.04953312
92.00000000 1.05014259
93.00000000 1.05073944
94.00000000 1.05134690
95.00000000 1.05195567
96.00000000 1.05257572
97.00000000 1.05319601
98.00000000 1.05381614
99.00000000 1.05443723
