# lag acf_value
5.00000000 1.00260017
6.00000000 1.00306515
7.00000000 1.00348991
8.00000000 1.00391450
9.00000000 1.00433849
10.00000000 1.00476730
11.00000000 1.00518682
12.00000000 1.00559004
13.00000000 1.00601509
14.00000000 1.00646356
15.00000000 1.00693395
16.00000000 1.00739166
17.00000000 1.00784876
18.00000000 1.00830618
19.00000000 1.00877609
20.00000000 1.00923109
21.00000000 1.00966060
22.00000000 1.01010153
23.00000000 1.01054274
24.00000000 1.01097671
25.00000000 1.01141906
26.00000000 1.01186512
27.00000000 1.01229110
28.00000000 1.01272030
29.00000000 1.01315875
30.00000000 1.01360605
31.00000000 1.01406654
32.00000000 1.01452597
33.00000000 1.01499096
34.00000000 1.01544480
35.00000000 1.01589050
36.00000000 1.01633049
37.00000000 1.01677294
38.00000000 1.01722053
39.00000000 1.01767020
40.00000000 1.01811055
41.00000000 1.01856016
42.00000000 1.01902066
43.00000000 1.01950206
44.00000000 1.01998154
45.00000000 1.02046608
46.00000000 1.02092760
47.00000000 1.02137686
48.00000000 1.02182700
49.00000000 1.02227403
50.00000000 1.02279857
51.00000000 1.02329664
52.00000000 1.02381441
53.00000000 1.02432680
54.00000000 1.02484407
55.00000000 1.02538219
56.00000000 1.02592025
57.00000000 1.02645253
58.00000000 1.02695202
59.00000000 1.02730471
60.00000000 1.02765924
61.00000000 1.02800344
62.00000000 1.02832748
63.00000000 1.02866644
64.00000000 1.02898520
65.00000000 1.02928520
66.00000000 1.02947833
67.00000000 1.02960707
68.00000000 1.02973655
69.00000000 1.02984767
70.00000000 1.02997111
71.00000000 1.03006211
72.00000000 1.03020386
73.00000000 1.03036961
74.00000000 1.03042335
75.00000000 1.03054985
76.00000000 1.03059989
77.00000000 1.03064354
78.00000000 1.03097437
79.00000000 1.03143025
80.00000000 1.03183264
81.00000000 1.03223377
82.00000000 1.03262924
83.00000000 1.03293627
84.00000000 1.03325767
85.00000000 1.03363338
86.00000000 1.03407883
87.00000000 1.03442375
88.00000000 1.03475059
89.00000000 1.03508897
90.00000000 1.03545289
91.00000000 1.03583433
92.00000000 1.03622369
93.00000000 1.03655537
94.00000000 1.03694818
95.00000000 1.03734732
96.00000000 1.03775926
97.00000000 1.03817150
98.00000000 1.03858316
99.00000000 1.03901113
