# lag acf_value
5.00000000 1.00379588
6.00000000 1.03197566
7.00000000 1.06228230
8.00000000 1.09497148
9.00000000 0.96632710
10.00000000 0.99771560
11.00000000 1.03188718
12.00000000 1.06923820
13.00000000 1.11024078
14.00000000 0.94952334
15.00000000 0.98848679
16.00000000 1.03189479
17.00000000 1.08056868
18.00000000 1.13552354
19.00000000 0.92121411
20.00000000 0.97251181
21.00000000 1.03200502
22.00000000 1.10185082
23.00000000 1.18500215
24.00000000 0.86332845
25.00000000 0.93798382
26.00000000 1.03253515
27.00000000 1.15619050
28.00000000 1.32481147
29.00000000 0.67530970
30.00000000 0.80290095
31.00000000 1.03253371
32.00000000 1.56837477
33.00000000 4.24757396
