# lag acf_value
5.00000000 1.03125991
6.00000000 1.03718684
7.00000000 1.04318601
8.00000000 1.04925706
9.00000000 1.05540300
10.00000000 1.06162350
11.00000000 1.06792167
12.00000000 1.07429719
13.00000000 1.08075328
14.00000000 1.08728970
15.00000000 1.09390976
16.00000000 1.10061324
17.00000000 1.10740357
18.00000000 1.11428061
19.00000000 1.12124743
20.00000000 1.12830532
21.00000000 1.13545627
22.00000000 1.14270146
23.00000000 1.05661882
24.00000000 0.96711441
25.00000000 0.97336948
26.00000000 0.97970920
27.00000000 0.98613604
28.00000000 0.99265148
29.00000000 0.99925742
30.00000000 1.00595580
31.00000000 1.01274853
32.00000000 1.01963756
33.00000000 1.02662499
34.00000000 1.03371300
35.00000000 1.04090322
36.00000000 1.04819940
37.00000000 1.05560187
38.00000000 1.06311505
39.00000000 1.07073932
40.00000000 1.07847901
41.00000000 1.08633545
42.00000000 1.09431214
43.00000000 1.10241149
44.00000000 1.11063641
45.00000000 1.11898989
46.00000000 1.12747491
47.00000000 1.13609458
48.00000000 1.03022452
49.00000000 0.92505865
50.00000000 0.93224292
51.00000000 0.93954497
52.00000000 0.94696775
53.00000000 0.95451422
54.00000000 0.96218753
55.00000000 0.96999086
56.00000000 0.97792758
57.00000000 0.98600114
58.00000000 0.99421509
59.00000000 1.00257320
60.00000000 1.01107890
61.00000000 1.01973711
62.00000000 1.02855039
63.00000000 1.03752484
64.00000000 1.04666333
65.00000000 1.05597174
66.00000000 1.06545345
67.00000000 1.07511444
68.00000000 1.08495936
69.00000000 1.09499364
70.00000000 1.10522287
71.00000000 1.11565262
72.00000000 1.12628887
73.00000000 0.99435001
74.00000000 0.86190614
75.00000000 0.87027869
76.00000000 0.87882386
77.00000000 0.88754713
78.00000000 0.89645404
79.00000000 0.90555048
80.00000000 0.91484249
81.00000000 0.92433652
82.00000000 0.93403915
83.00000000 0.94395703
84.00000000 0.95409859
85.00000000 0.96446983
86.00000000 0.97508030
87.00000000 0.98593632
88.00000000 0.99704942
89.00000000 1.00842545
90.00000000 1.02007732
91.00000000 1.03201164
92.00000000 1.04424232
93.00000000 1.05677706
94.00000000 1.06962998
95.00000000 1.08281259
96.00000000 1.09633799
97.00000000 1.11021835
98.00000000 0.93438933
99.00000000 0.75617741
