# lag acf_value
5.00000000 1.00240397
6.00000000 1.00287548
7.00000000 1.00332787
8.00000000 1.00377947
9.00000000 1.00423196
10.00000000 1.00469422
11.00000000 1.00515659
12.00000000 1.00562112
13.00000000 1.00611395
14.00000000 1.00660705
15.00000000 1.00710018
16.00000000 1.00756980
17.00000000 1.00803270
18.00000000 1.00849692
19.00000000 1.00895679
20.00000000 1.00942396
21.00000000 1.00990542
22.00000000 1.01038756
23.00000000 1.01087306
24.00000000 1.01136090
25.00000000 1.01184942
26.00000000 1.01230929
27.00000000 1.01276683
28.00000000 1.01322514
29.00000000 1.01367013
30.00000000 1.01411493
31.00000000 1.01456452
32.00000000 1.01502905
33.00000000 1.01549700
34.00000000 1.01594161
35.00000000 1.01638288
36.00000000 1.01682347
37.00000000 1.01727438
38.00000000 1.01774188
39.00000000 1.01825483
40.00000000 1.01877844
41.00000000 1.01928727
42.00000000 1.01979056
43.00000000 1.02029584
44.00000000 1.02080329
45.00000000 1.02136621
46.00000000 1.02192604
47.00000000 1.02248965
48.00000000 1.02305351
49.00000000 1.02346616
50.00000000 1.02389392
51.00000000 1.02429369
52.00000000 1.02467644
53.00000000 1.02500288
54.00000000 1.02531808
55.00000000 1.02562411
56.00000000 1.02547441
57.00000000 1.02527923
58.00000000 1.02504937
59.00000000 1.02479283
60.00000000 1.02446611
61.00000000 1.02403264
62.00000000 1.02357823
63.00000000 1.02311150
64.00000000 1.02251143
65.00000000 1.02188273
66.00000000 1.02107012
67.00000000 1.02023945
68.00000000 1.01944532
69.00000000 1.01876597
70.00000000 1.01800565
71.00000000 1.01724262
72.00000000 1.01650544
73.00000000 1.01567669
74.00000000 1.01484275
75.00000000 1.01435577
76.00000000 1.01386302
77.00000000 1.01354180
78.00000000 1.01351781
79.00000000 1.01379393
80.00000000 1.01406236
81.00000000 1.01434518
82.00000000 1.01463441
83.00000000 1.01497570
84.00000000 1.01525979
85.00000000 1.01556443
86.00000000 1.01608688
87.00000000 1.01661092
88.00000000 1.01711336
89.00000000 1.01761877
90.00000000 1.01814022
91.00000000 1.01867008
92.00000000 1.01918699
93.00000000 1.01970819
94.00000000 1.02024300
95.00000000 1.02075475
96.00000000 1.02129311
97.00000000 1.02181838
98.00000000 1.02233119
99.00000000 1.02282235
