# lag acf_value
5.00000000 1.00286393
6.00000000 1.00341874
7.00000000 1.00397509
8.00000000 1.00453335
9.00000000 1.00509088
10.00000000 1.00565914
11.00000000 1.00622709
12.00000000 1.00679629
13.00000000 1.00736714
14.00000000 1.00793615
15.00000000 1.00850738
16.00000000 1.00905228
17.00000000 1.00958793
18.00000000 1.01012514
19.00000000 1.01066009
20.00000000 1.01119195
21.00000000 1.01170861
22.00000000 1.01222618
23.00000000 1.01274195
24.00000000 1.01325648
25.00000000 1.01377105
26.00000000 1.01426897
27.00000000 1.01474288
28.00000000 1.01521714
29.00000000 1.01569330
30.00000000 1.01616946
31.00000000 1.01664795
32.00000000 1.01713722
33.00000000 1.01767040
34.00000000 1.01819401
35.00000000 1.01874510
36.00000000 1.01929431
37.00000000 1.01984767
38.00000000 1.02040142
39.00000000 1.02095996
40.00000000 1.02155153
41.00000000 1.02214583
42.00000000 1.02274736
43.00000000 1.02333716
44.00000000 1.02392751
45.00000000 1.02451361
46.00000000 1.02510778
47.00000000 1.02569883
48.00000000 1.02627628
49.00000000 1.02681016
50.00000000 1.02736192
51.00000000 1.02789599
52.00000000 1.02842959
53.00000000 1.02894402
54.00000000 1.02945859
55.00000000 1.02997455
56.00000000 1.03040950
57.00000000 1.03082549
58.00000000 1.03123885
59.00000000 1.03166178
60.00000000 1.03205680
61.00000000 1.03244410
62.00000000 1.03284810
63.00000000 1.03330603
64.00000000 1.03371562
65.00000000 1.03416385
66.00000000 1.03460497
67.00000000 1.03504602
68.00000000 1.03547963
69.00000000 1.03590398
70.00000000 1.03640805
71.00000000 1.03688965
72.00000000 1.03741316
73.00000000 1.03795413
74.00000000 1.03849434
75.00000000 1.03905736
76.00000000 1.03959563
77.00000000 1.04012812
78.00000000 1.04069730
79.00000000 1.04128610
80.00000000 1.04187878
81.00000000 1.04247621
82.00000000 1.04308450
83.00000000 1.04369925
84.00000000 1.04431335
85.00000000 1.04492869
86.00000000 1.04551529
87.00000000 1.04610069
88.00000000 1.04668982
89.00000000 1.04727704
90.00000000 1.04786363
91.00000000 1.04844503
92.00000000 1.04903091
93.00000000 1.04962199
94.00000000 1.05020082
95.00000000 1.05080474
96.00000000 1.05141373
97.00000000 1.05202575
98.00000000 1.05263811
99.00000000 1.05325530
