# lag acf_value
5.00000000 1.00199440
6.00000000 1.00241269
7.00000000 1.00280586
8.00000000 1.00320546
9.00000000 1.00360148
10.00000000 1.00401723
11.00000000 1.00443408
12.00000000 1.00486216
13.00000000 1.00527952
14.00000000 1.00569654
15.00000000 1.00612514
16.00000000 1.00650807
17.00000000 1.00690168
18.00000000 1.00730000
19.00000000 1.00770362
20.00000000 1.00810218
21.00000000 1.00849380
22.00000000 1.00887853
23.00000000 1.00926565
24.00000000 1.00965271
25.00000000 1.01003975
26.00000000 1.01038339
27.00000000 1.01067214
28.00000000 1.01096144
29.00000000 1.01125004
30.00000000 1.01153784
31.00000000 1.01183318
32.00000000 1.01215270
33.00000000 1.01249707
34.00000000 1.01282720
35.00000000 1.01315803
36.00000000 1.01347265
37.00000000 1.01381338
38.00000000 1.01416631
39.00000000 1.01451917
40.00000000 1.01493749
41.00000000 1.01535367
42.00000000 1.01577892
43.00000000 1.01621497
44.00000000 1.01665739
45.00000000 1.01715655
46.00000000 1.01764796
47.00000000 1.01814938
48.00000000 1.01869884
49.00000000 1.01907698
50.00000000 1.01945036
51.00000000 1.01978768
52.00000000 1.02012598
53.00000000 1.02030409
54.00000000 1.02045915
55.00000000 1.02061934
56.00000000 1.02034375
57.00000000 1.02005252
58.00000000 1.01972242
59.00000000 1.01936623
60.00000000 1.01892101
61.00000000 1.01835702
62.00000000 1.01775383
63.00000000 1.01713937
64.00000000 1.01629237
65.00000000 1.01547494
66.00000000 1.01448907
67.00000000 1.01351920
68.00000000 1.01241578
69.00000000 1.01131136
70.00000000 1.01014013
71.00000000 1.00895658
72.00000000 1.00786107
73.00000000 1.00655475
74.00000000 1.00524772
75.00000000 1.00417972
76.00000000 1.00306364
77.00000000 1.00206699
78.00000000 1.00160892
79.00000000 1.00171752
80.00000000 1.00170331
81.00000000 1.00169073
82.00000000 1.00167181
83.00000000 1.00179991
84.00000000 1.00192692
85.00000000 1.00205688
86.00000000 1.00245820
87.00000000 1.00286296
88.00000000 1.00323070
89.00000000 1.00360970
90.00000000 1.00400144
91.00000000 1.00442133
92.00000000 1.00483814
93.00000000 1.00526668
94.00000000 1.00572706
95.00000000 1.00617270
96.00000000 1.00662875
97.00000000 1.00709124
98.00000000 1.00755687
99.00000000 1.00802041
