# lag acf_value
5.00000000 1.00304409
6.00000000 1.00360470
7.00000000 1.00416285
8.00000000 1.00472182
9.00000000 1.00528034
10.00000000 1.00584004
11.00000000 1.00639750
12.00000000 1.00695636
13.00000000 1.00750275
14.00000000 1.00804957
15.00000000 1.00859716
16.00000000 1.00914581
17.00000000 1.00969732
18.00000000 1.01025005
19.00000000 1.01080238
20.00000000 1.01135585
21.00000000 1.01191218
22.00000000 1.01246897
23.00000000 1.01302511
24.00000000 1.01358498
25.00000000 1.01414572
26.00000000 1.01470417
27.00000000 1.01526334
28.00000000 1.01582269
29.00000000 1.01638266
30.00000000 1.01694333
31.00000000 1.01750578
32.00000000 1.01807091
33.00000000 1.01863963
34.00000000 1.01920606
35.00000000 1.01977569
36.00000000 1.02034597
37.00000000 1.02091924
38.00000000 1.02149387
39.00000000 1.02206926
40.00000000 1.02266058
41.00000000 1.02325299
42.00000000 1.02384701
43.00000000 1.02444238
44.00000000 1.02503897
45.00000000 1.02563939
46.00000000 1.02623998
47.00000000 1.02684053
48.00000000 1.02744141
49.00000000 1.02802539
50.00000000 1.02860989
51.00000000 1.02919123
52.00000000 1.02977431
53.00000000 1.03034995
54.00000000 1.03092434
55.00000000 1.03149938
56.00000000 1.03204978
57.00000000 1.03259185
58.00000000 1.03313500
59.00000000 1.03367613
60.00000000 1.03421337
61.00000000 1.03474533
62.00000000 1.03527582
63.00000000 1.03580809
64.00000000 1.03633229
65.00000000 1.03686415
66.00000000 1.03738504
67.00000000 1.03790408
68.00000000 1.03842066
69.00000000 1.03893791
70.00000000 1.03947655
71.00000000 1.04001737
72.00000000 1.04056977
73.00000000 1.04112437
74.00000000 1.04167883
75.00000000 1.04224691
76.00000000 1.04281576
77.00000000 1.04339843
78.00000000 1.04399652
79.00000000 1.04461495
80.00000000 1.04523302
81.00000000 1.04585196
82.00000000 1.04647010
83.00000000 1.04709037
84.00000000 1.04771160
85.00000000 1.04833377
86.00000000 1.04895681
87.00000000 1.04957989
88.00000000 1.05020306
89.00000000 1.05082716
90.00000000 1.05145270
91.00000000 1.05207899
92.00000000 1.05270596
93.00000000 1.05333342
94.00000000 1.05396144
95.00000000 1.05459110
96.00000000 1.05521746
97.00000000 1.05584560
98.00000000 1.05647416
99.00000000 1.05710361
