# lag acf_value
5.00000000 1.02435641
6.00000000 1.04156092
7.00000000 1.05976974
8.00000000 1.06934957
9.00000000 1.08562045
10.00000000 1.10203490
11.00000000 1.12399824
12.00000000 1.13173031
13.00000000 1.14689252
14.00000000 1.17096878
15.00000000 1.18297331
16.00000000 1.20219919
17.00000000 1.19356016
18.00000000 1.22155399
19.00000000 1.24995976
20.00000000 1.28240557
21.00000000 1.30830380
22.00000000 1.34169841
23.00000000 1.23452780
24.00000000 1.26568131
25.00000000 1.29985547
26.00000000 1.25011386
27.00000000 1.27953755
28.00000000 1.31959591
29.00000000 1.33521161
30.00000000 1.37598511
31.00000000 0.65034881
32.00000000 0.65328102
33.00000000 0.67776333
34.00000000 0.68122539
35.00000000 0.70425946
36.00000000 0.69881537
37.00000000 0.71864098
38.00000000 0.73933624
39.00000000 0.77452573
40.00000000 0.80905693
41.00000000 0.85696823
42.00000000 0.86796625
43.00000000 0.91949315
44.00000000 0.98071601
45.00000000 1.05067369
46.00000000 1.05189460
47.00000000 1.11619208
48.00000000 0.37085127
49.00000000 0.36756983
50.00000000 0.39338674
51.00000000 0.39445418
52.00000000 0.36002976
53.00000000 0.36964365
54.00000000 0.40587502
55.00000000 0.45483689
56.00000000 0.56661698
