# lag acf_value
5.00000000 1.10462036
6.00000000 1.12613099
7.00000000 1.14840615
8.00000000 1.17157696
9.00000000 1.19577434
10.00000000 1.22097218
11.00000000 1.24729037
12.00000000 1.27485639
13.00000000 1.30373821
14.00000000 1.33392124
15.00000000 1.36556344
16.00000000 1.39857360
17.00000000 1.43335314
18.00000000 1.46984004
19.00000000 1.50823330
20.00000000 1.54869964
21.00000000 1.59143119
22.00000000 1.63656658
23.00000000 1.68453171
24.00000000 1.73525437
25.00000000 1.78913788
26.00000000 1.84659174
27.00000000 1.90774697
28.00000000 1.97315524
29.00000000 2.04337254
30.00000000 2.11866370
31.00000000 2.19909453
32.00000000 2.28658975
33.00000000 2.38140624
34.00000000 2.48443648
35.00000000 2.59690798
36.00000000 2.72002326
37.00000000 2.85547851
38.00000000 0.01017541
39.00000000 0.01018044
40.00000000 0.01011486
41.00000000 0.01019497
42.00000000 0.01025181
43.00000000 0.01023179
44.00000000 0.01004020
45.00000000 0.01007415
46.00000000 0.01036976
47.00000000 0.01063005
48.00000000 0.01121749
49.00000000 0.01158444
50.00000000 0.01195250
51.00000000 0.01186276
52.00000000 0.01209580
53.00000000 0.01263025
54.00000000 0.01276211
55.00000000 0.01294159
56.00000000 0.01330749
