# lag acf_value
5.00000000 1.00257413
6.00000000 1.00307506
7.00000000 1.00355776
8.00000000 1.00404542
9.00000000 1.00453233
10.00000000 1.00503589
11.00000000 1.00553977
12.00000000 1.00605406
13.00000000 1.00650972
14.00000000 1.00698013
15.00000000 1.00746534
16.00000000 1.00794617
17.00000000 1.00843240
18.00000000 1.00892067
19.00000000 1.00940839
20.00000000 1.00989714
21.00000000 1.01038215
22.00000000 1.01086744
23.00000000 1.01135259
24.00000000 1.01184590
25.00000000 1.01233981
26.00000000 1.01282656
27.00000000 1.01330977
28.00000000 1.01379273
29.00000000 1.01427645
30.00000000 1.01476114
31.00000000 1.01526532
32.00000000 1.01578334
33.00000000 1.01634292
34.00000000 1.01689654
35.00000000 1.01747321
36.00000000 1.01804921
37.00000000 1.01863271
38.00000000 1.01921715
39.00000000 1.01980273
40.00000000 1.02039374
41.00000000 1.02098628
42.00000000 1.02155958
43.00000000 1.02208144
44.00000000 1.02261909
45.00000000 1.02316137
46.00000000 1.02370114
47.00000000 1.02421297
48.00000000 1.02461999
49.00000000 1.02464538
50.00000000 1.02466047
51.00000000 1.02464172
52.00000000 1.02461474
53.00000000 1.02456148
54.00000000 1.02450323
55.00000000 1.02441832
56.00000000 1.02377119
57.00000000 1.02296227
58.00000000 1.02215698
59.00000000 1.02133371
60.00000000 1.02040593
61.00000000 1.01951049
62.00000000 1.01859447
63.00000000 1.01783378
64.00000000 1.01691665
65.00000000 1.01621252
66.00000000 1.01547434
67.00000000 1.01473004
68.00000000 1.01391855
69.00000000 1.01306407
70.00000000 1.01224115
71.00000000 1.01140883
72.00000000 1.01082755
73.00000000 1.01030204
74.00000000 1.00977616
75.00000000 1.00932125
76.00000000 1.00885860
77.00000000 1.00850675
78.00000000 1.00848117
79.00000000 1.00881354
80.00000000 1.00910461
81.00000000 1.00940513
82.00000000 1.00971265
83.00000000 1.00991427
84.00000000 1.01012095
85.00000000 1.01035397
86.00000000 1.01084938
87.00000000 1.01136432
88.00000000 1.01184855
89.00000000 1.01233811
90.00000000 1.01284280
91.00000000 1.01336243
92.00000000 1.01388002
93.00000000 1.01440096
94.00000000 1.01494747
95.00000000 1.01548581
96.00000000 1.01603253
97.00000000 1.01658342
98.00000000 1.01713891
99.00000000 1.01770196
