# lag acf_value
5.00000000 1.09718802
6.00000000 1.11823100
7.00000000 1.13954638
8.00000000 1.16103269
9.00000000 1.18415803
10.00000000 1.20814061
11.00000000 1.23385226
12.00000000 1.26007040
13.00000000 1.28820731
14.00000000 1.31731556
15.00000000 1.34850806
16.00000000 1.37992164
17.00000000 1.41107626
18.00000000 1.44614854
19.00000000 1.48366675
20.00000000 1.52337667
21.00000000 1.56496168
22.00000000 1.60808175
23.00000000 1.62785201
24.00000000 1.67664426
25.00000000 1.72806208
26.00000000 1.78362657
27.00000000 1.84082791
28.00000000 1.90280431
29.00000000 1.96910364
30.00000000 2.04045322
31.00000000 2.10617680
32.00000000 2.18857770
33.00000000 2.27809009
34.00000000 2.37427999
35.00000000 2.47993476
36.00000000 2.59588917
37.00000000 2.72298604
38.00000000 0.09755555
39.00000000 0.10205916
40.00000000 0.10547504
41.00000000 0.11196503
42.00000000 0.11681910
43.00000000 0.12233049
44.00000000 0.12732001
45.00000000 0.13567265
46.00000000 0.13227018
47.00000000 0.14430372
48.00000000 0.04686954
49.00000000 0.04889344
50.00000000 0.04940318
51.00000000 0.04637912
52.00000000 0.04630228
53.00000000 0.04935665
54.00000000 0.04907472
55.00000000 0.06739783
56.00000000 0.07907745
