# lag acf_value
5.00000000 1.06103126
6.00000000 1.08068464
7.00000000 1.09986194
8.00000000 1.11687777
9.00000000 1.13683610
10.00000000 1.15625328
11.00000000 1.18077740
12.00000000 1.20013645
13.00000000 1.22513510
14.00000000 1.25148921
15.00000000 1.27349178
16.00000000 1.30174831
17.00000000 1.31319152
18.00000000 1.34473356
19.00000000 1.37379814
20.00000000 1.40823732
21.00000000 1.44321472
22.00000000 1.47899344
23.00000000 1.29433252
24.00000000 1.33132339
25.00000000 1.36800236
26.00000000 1.41108868
27.00000000 1.45288400
28.00000000 1.49918532
29.00000000 1.54780935
30.00000000 1.59808925
31.00000000 1.48180695
32.00000000 1.53341085
33.00000000 1.59681562
34.00000000 1.65189299
35.00000000 1.72443481
36.00000000 1.79330551
37.00000000 1.87624256
38.00000000 0.32252798
39.00000000 0.33751186
40.00000000 0.35191169
41.00000000 0.37261708
42.00000000 0.38491484
43.00000000 0.40730236
44.00000000 0.43449555
45.00000000 0.46864374
46.00000000 0.46412942
47.00000000 0.48973223
48.00000000 0.22937546
49.00000000 0.24453165
50.00000000 0.25733122
51.00000000 0.27241000
52.00000000 0.18394975
53.00000000 0.22916648
54.00000000 0.22715542
55.00000000 0.23040812
56.00000000 0.30946558
