# lag acf_value
5.00000000 1.00240608
6.00000000 1.00286860
7.00000000 1.00327663
8.00000000 1.00367346
9.00000000 1.00405927
10.00000000 1.00446213
11.00000000 1.00470347
12.00000000 1.00492923
13.00000000 1.00534492
14.00000000 1.00577570
15.00000000 1.00620348
16.00000000 1.00664790
17.00000000 1.00708704
18.00000000 1.00752504
19.00000000 1.00797149
20.00000000 1.00841774
21.00000000 1.00886653
22.00000000 1.00932148
23.00000000 1.00978346
24.00000000 1.01026973
25.00000000 1.01080058
26.00000000 1.01128431
27.00000000 1.01169877
28.00000000 1.01211863
29.00000000 1.01253785
30.00000000 1.01296742
31.00000000 1.01339776
32.00000000 1.01383972
33.00000000 1.01426906
34.00000000 1.01468906
35.00000000 1.01508439
36.00000000 1.01550265
37.00000000 1.01593817
38.00000000 1.01637922
39.00000000 1.01682716
40.00000000 1.01727514
41.00000000 1.01772714
42.00000000 1.01817757
43.00000000 1.01862824
44.00000000 1.01907965
45.00000000 1.01953138
46.00000000 1.01999507
47.00000000 1.02045397
48.00000000 1.02091062
49.00000000 1.02137387
50.00000000 1.02183067
51.00000000 1.02224875
52.00000000 1.02272951
53.00000000 1.02322846
54.00000000 1.02371201
55.00000000 1.02421371
56.00000000 1.02470161
57.00000000 1.02521512
58.00000000 1.02574748
59.00000000 1.02627358
60.00000000 1.02686765
61.00000000 1.02743787
62.00000000 1.02800132
63.00000000 1.02857056
64.00000000 1.02914226
65.00000000 1.02971556
66.00000000 1.03029010
67.00000000 1.03083025
68.00000000 1.03125118
69.00000000 1.02952133
70.00000000 1.02791987
71.00000000 1.02620819
72.00000000 1.02474165
73.00000000 1.02254908
74.00000000 1.02030028
75.00000000 1.01844437
76.00000000 1.01436685
77.00000000 1.01017808
78.00000000 1.00770058
79.00000000 1.00748225
80.00000000 1.00712897
81.00000000 1.00657159
82.00000000 1.00599045
83.00000000 1.00592032
84.00000000 1.00552655
85.00000000 1.00518315
86.00000000 1.00561577
87.00000000 1.00606350
88.00000000 1.00645333
89.00000000 1.00684124
90.00000000 1.00718837
91.00000000 1.00759637
92.00000000 1.00802793
93.00000000 1.00840430
94.00000000 1.00887704
95.00000000 1.00938435
96.00000000 1.00994394
97.00000000 1.01049076
98.00000000 1.01105587
99.00000000 1.01162682
