# lag acf_value
5.00000000 1.02922666
6.00000000 1.03498905
7.00000000 1.02364651
8.00000000 1.02897414
9.00000000 1.03429367
10.00000000 1.04020259
11.00000000 1.04638208
12.00000000 1.05190723
13.00000000 1.05780299
14.00000000 1.06401302
15.00000000 1.07050151
16.00000000 1.07689457
17.00000000 1.08324386
18.00000000 1.08977739
19.00000000 1.09627889
20.00000000 1.10324232
21.00000000 1.11047931
22.00000000 1.11728798
23.00000000 1.12403461
24.00000000 1.13095757
25.00000000 1.13852316
26.00000000 1.14553231
27.00000000 1.15287529
28.00000000 1.16021155
29.00000000 1.16716014
30.00000000 1.17485030
31.00000000 1.18251829
32.00000000 1.19040870
33.00000000 1.19871007
34.00000000 1.20706390
35.00000000 1.21542920
36.00000000 1.22385780
37.00000000 1.23228262
38.00000000 1.23799525
39.00000000 1.24421417
40.00000000 1.25300095
41.00000000 1.26227053
42.00000000 1.27162376
43.00000000 1.28121336
44.00000000 1.28980089
45.00000000 1.29978651
46.00000000 1.30915574
47.00000000 1.31824460
48.00000000 1.32811114
49.00000000 1.33870152
50.00000000 1.34951348
51.00000000 1.35870113
52.00000000 1.36508888
53.00000000 1.37548454
54.00000000 1.38592850
55.00000000 1.39726279
56.00000000 1.40860323
57.00000000 1.42001865
58.00000000 1.43095364
59.00000000 1.44290914
60.00000000 1.45553956
61.00000000 1.46773097
62.00000000 1.48040347
63.00000000 1.49310239
64.00000000 1.50570354
65.00000000 1.51863841
66.00000000 1.53252314
67.00000000 1.54603967
68.00000000 1.55992471
69.00000000 1.26583595
70.00000000 1.27544460
71.00000000 1.28622672
72.00000000 1.29848308
73.00000000 1.31144523
74.00000000 1.32423887
75.00000000 1.33702712
76.00000000 1.34979594
77.00000000 1.36150828
78.00000000 1.37533976
79.00000000 1.38936134
80.00000000 1.40093800
81.00000000 1.41567440
82.00000000 1.42984275
83.00000000 1.44438357
84.00000000 1.46008174
85.00000000 1.47605002
86.00000000 1.47540990
87.00000000 1.49172213
88.00000000 1.50618114
89.00000000 1.52268476
90.00000000 1.54053176
91.00000000 1.55802351
92.00000000 1.57638750
93.00000000 1.59567097
94.00000000 1.60075937
95.00000000 1.60160128
96.00000000 1.62138463
97.00000000 1.64235590
98.00000000 1.66247790
99.00000000 1.68450878
