# lag acf_value
5.00000000 1.02703387
6.00000000 1.03252391
7.00000000 1.02059294
8.00000000 1.02589728
9.00000000 1.03075507
10.00000000 1.03649846
11.00000000 1.04177072
12.00000000 1.04716343
13.00000000 1.05238044
14.00000000 1.05829905
15.00000000 1.06429973
16.00000000 1.07078289
17.00000000 1.07698976
18.00000000 1.08280034
19.00000000 1.08858947
20.00000000 1.09540675
21.00000000 1.10253366
22.00000000 1.10881415
23.00000000 1.11523516
24.00000000 1.12141535
25.00000000 1.12841524
26.00000000 1.13542557
27.00000000 1.14240798
28.00000000 1.14920787
29.00000000 1.15632599
30.00000000 1.16335891
31.00000000 1.17052079
32.00000000 1.17799954
33.00000000 1.18582508
34.00000000 1.19342514
35.00000000 1.20196058
36.00000000 1.21010440
37.00000000 1.21793063
38.00000000 1.21281134
39.00000000 1.21582973
40.00000000 1.22482083
41.00000000 1.22924373
42.00000000 1.23690962
43.00000000 1.24614621
44.00000000 1.25391231
45.00000000 1.26366954
46.00000000 1.27290858
47.00000000 1.27378198
48.00000000 1.28276609
49.00000000 1.29292379
50.00000000 1.30310050
51.00000000 1.31216027
52.00000000 1.30245400
53.00000000 1.31122566
54.00000000 1.32051170
55.00000000 1.33080956
56.00000000 1.34156973
57.00000000 1.35101267
58.00000000 1.36181917
59.00000000 1.37276472
60.00000000 1.38477697
61.00000000 1.39360519
62.00000000 1.40444318
63.00000000 1.41591863
64.00000000 1.42692566
65.00000000 1.43864777
66.00000000 1.45174625
67.00000000 1.46442225
68.00000000 1.47705896
69.00000000 1.08139456
70.00000000 1.09108539
71.00000000 1.10012739
72.00000000 1.10929869
73.00000000 1.12037267
74.00000000 1.13097204
75.00000000 1.14181538
76.00000000 1.15192675
77.00000000 1.16085572
78.00000000 1.17229815
79.00000000 1.18471229
80.00000000 1.19467726
81.00000000 1.20655839
82.00000000 1.21928856
83.00000000 1.23115935
84.00000000 1.24471582
85.00000000 1.25819399
86.00000000 1.27106747
87.00000000 1.28535884
88.00000000 1.29323836
89.00000000 1.30653874
90.00000000 1.32133255
91.00000000 1.33571967
92.00000000 1.35120466
93.00000000 1.36699024
94.00000000 1.36212270
95.00000000 1.26273558
96.00000000 1.27815325
97.00000000 1.29383641
98.00000000 1.30849659
99.00000000 1.32592203
