# lag acf_value
5.00000000 1.03083370
6.00000000 1.03697122
7.00000000 1.04113507
8.00000000 1.04630265
9.00000000 1.05256413
10.00000000 1.05894744
11.00000000 1.06529119
12.00000000 1.07160094
13.00000000 1.07797425
14.00000000 1.08462735
15.00000000 1.09121783
16.00000000 1.09797958
17.00000000 1.10457495
18.00000000 1.11134245
19.00000000 1.11761587
20.00000000 1.12483881
21.00000000 1.13218478
22.00000000 1.13934695
23.00000000 1.14664468
24.00000000 1.15386611
25.00000000 1.16141884
26.00000000 1.16896077
27.00000000 1.17670502
28.00000000 1.18448049
29.00000000 1.19231505
30.00000000 1.20032538
31.00000000 1.20860969
32.00000000 1.21696617
33.00000000 1.22563964
34.00000000 1.23414641
35.00000000 1.24295921
36.00000000 1.25186051
37.00000000 1.26073586
38.00000000 1.26635261
39.00000000 1.27430416
40.00000000 1.28388220
41.00000000 1.29312326
42.00000000 1.30276709
43.00000000 1.31261861
44.00000000 1.32166909
45.00000000 1.33192462
46.00000000 1.34222215
47.00000000 1.35261502
48.00000000 1.36321195
49.00000000 1.37390465
50.00000000 1.38467897
51.00000000 1.39594193
52.00000000 1.40144938
53.00000000 1.41258587
54.00000000 1.42408083
55.00000000 1.43582882
56.00000000 1.44800535
57.00000000 1.46025675
58.00000000 1.47284899
59.00000000 1.48558529
60.00000000 1.49846406
61.00000000 1.51149966
62.00000000 1.52483482
63.00000000 1.53848442
64.00000000 1.55233805
65.00000000 1.56587486
66.00000000 1.58018128
67.00000000 1.59483657
68.00000000 1.60966820
69.00000000 1.56055767
70.00000000 1.57555703
71.00000000 1.59067772
72.00000000 1.60608938
73.00000000 1.62214015
74.00000000 1.63827855
75.00000000 1.65480578
76.00000000 1.67143018
77.00000000 1.68831639
78.00000000 1.70581177
79.00000000 1.72368556
80.00000000 1.74102657
81.00000000 1.75946450
82.00000000 1.77839076
83.00000000 1.79748678
84.00000000 1.81723356
85.00000000 1.83757618
86.00000000 1.85823754
87.00000000 1.87940727
88.00000000 1.89931786
89.00000000 1.92126886
90.00000000 1.94417752
91.00000000 1.96737460
92.00000000 1.99135662
93.00000000 2.01595351
94.00000000 2.03864952
95.00000000 2.05460354
96.00000000 2.08073430
97.00000000 2.10789911
98.00000000 2.13544167
99.00000000 2.16372195
