# lag acf_value
5.00000000 1.03237687
6.00000000 1.03852505
7.00000000 1.04466146
8.00000000 1.05094768
9.00000000 1.05730387
10.00000000 1.06373144
11.00000000 1.07023612
12.00000000 1.07680613
13.00000000 1.08346938
14.00000000 1.09021726
15.00000000 1.09704499
16.00000000 1.10397572
17.00000000 1.11096103
18.00000000 1.11806833
19.00000000 1.12524566
20.00000000 1.13254570
21.00000000 1.13993635
22.00000000 1.14742827
23.00000000 1.15500648
24.00000000 1.16268308
25.00000000 1.17048429
26.00000000 1.17836258
27.00000000 1.18638698
28.00000000 1.19451961
29.00000000 1.20274985
30.00000000 1.21108853
31.00000000 1.21955227
32.00000000 1.22814900
33.00000000 1.23685844
34.00000000 1.24566900
35.00000000 1.25464592
36.00000000 1.26372282
37.00000000 1.27292881
38.00000000 1.28213121
39.00000000 1.29157174
40.00000000 1.30124981
41.00000000 1.31106291
42.00000000 1.32102993
43.00000000 1.33111314
44.00000000 1.34135922
45.00000000 1.35182861
46.00000000 1.36241526
47.00000000 1.37319469
48.00000000 1.38408463
49.00000000 1.39515254
50.00000000 1.40641320
51.00000000 1.41793014
52.00000000 1.42955568
53.00000000 1.44136732
54.00000000 1.45339691
55.00000000 1.46563777
56.00000000 1.47811500
57.00000000 1.49078431
58.00000000 1.50368229
59.00000000 1.51679151
60.00000000 1.53015362
61.00000000 1.54372321
62.00000000 1.55757141
63.00000000 1.57162920
64.00000000 1.58594668
65.00000000 1.60057525
66.00000000 1.61542499
67.00000000 1.63057537
68.00000000 1.64601994
69.00000000 1.65936165
70.00000000 1.67542044
71.00000000 1.69170149
72.00000000 1.70837581
73.00000000 1.72540574
74.00000000 1.74272509
75.00000000 1.76042616
76.00000000 1.77846342
77.00000000 1.79693064
78.00000000 1.81581696
79.00000000 1.83499429
80.00000000 1.85458051
81.00000000 1.87461992
82.00000000 1.89513848
83.00000000 1.91605829
84.00000000 1.93746287
85.00000000 1.95939436
86.00000000 1.98180637
87.00000000 2.00476405
88.00000000 2.02824767
89.00000000 2.05224897
90.00000000 2.07689009
91.00000000 2.10209960
92.00000000 2.12796690
93.00000000 2.15454004
94.00000000 2.18134245
95.00000000 2.20911137
96.00000000 2.23764626
97.00000000 2.26697569
98.00000000 2.29702888
99.00000000 2.32791423
